#----------------------------------------------------------------------------------------#
#                              아이템 삭제 로그입니다.                                   #
#                                                            by 가니                     #
#----------------------------------------------------------------------------------------#
#시간	아이피	계정	케릭터id	케릭터이름	아이템id	아이템이름	아이템인챈	아이템갯수#
2012-03-04 09:41:24	192.168.0.6	admin001	271858842	메티스	288080042	기란감옥 충전(2시간)	0	1
2012-03-04 09:41:24	192.168.0.6	admin001	271858842	메티스	290559252	기란감옥 충전(1시간)	0	1
2012-03-04 09:41:24	192.168.0.6	admin001	271858842	메티스	290559254	라스타바드 충전(1시간)	0	1
2012-03-04 09:41:24	192.168.0.6	admin001	271858842	메티스	290559270	상아탑 충전(50분)	0	1
2012-03-04 09:56:43	192.168.0.6	admin001	271858842	메티스	290559241	기란감옥 충전(1시간)	0	1
2012-03-04 09:56:43	192.168.0.6	admin001	271858842	메티스	290559242	기란감옥 충전(2시간)	0	1
2012-03-04 09:56:43	192.168.0.6	admin001	271858842	메티스	290559243	상아탑 충전(50분)	0	1
2012-03-04 09:56:43	192.168.0.6	admin001	271858842	메티스	290559244	라스타바드 충전(1시간)	0	1
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290168466	악마왕의 영토 이동 주문서	0	1
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290315178	케릭명 변경 주문서	0	1
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290374382	1천만 수표	0	87
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290467602	버경장이동주문서	0	88
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290471461	메티스의 가호	0	100
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290562059	오만의 탑 51층 이동 주문서	0	3
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290562119	루비	0	1
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290565283	빈 주문서 (레벨 4)	0	1
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290634771	오만의 탑 86층 이동 부적	0	1
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290634824	오만의 탑 81층 이동 주문서	0	987
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290642550	마법서 (풀 힐)	0	1
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290642551	마법서 (파이어월)	0	1
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290642552	마법서 (블리자드)	0	1
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290642553	마법서 (인비지블리티)	0	1
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290642554	마법서 (리절렉션)	0	1
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290642555	마법서 (어스 퀘이크)	0	1
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290642556	마법서 (라이프 스트림)	0	1
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290656267	기마용 투구	0	1
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290656251	기마용 투구	0	1
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290656288	결혼반지 (사파이어)	0	1
2012-03-07 10:21:41	192.168.0.6	admin001	271858842	메티스	290656289	결혼반지 (에메랄드)	0	1
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	290656291	결혼반지 (루비)	0	1
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	290656292	결혼반지 (다이아몬드)	0	1
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	290656305	세마의 반지	0	1
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	290656307	오림의 반지	0	1
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	290720600	레이스 표	0	19998
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	290720180	레이스 표	0	39996
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	290720602	레이스 표	0	19998
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	290720181	레이스 표	0	39996
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	290720601	레이스 표	0	19998
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	290720179	레이스 표	0	39996
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	291047345	테베 호루스의 반지	0	1
